,demand
0,-1072119
1,-1117571
2,-1043678
3,-1084609
4,-1049826
5,-1121574
6,-1089812
7,-1138986
8,-1187547
9,-1245197
10,-1159494
11,-1216544
12,-1228365
13,-1160630
14,-1092372
15,-1272654
16,-1383968
17,-1372032
18,-1382903
19,-1413769
20,-1284169
21,-1287426
22,-1092201
23,-1139424
24,-1072410
25,-1045190
26,-1043930
27,-1094850
28,-1084980
29,-1083970
30,-1084613
31,-1141176
32,-1187731
33,-1209379
34,-1245887
35,-1209824
36,-1171722
37,-1197787
38,-1168098
39,-1224965
40,-1427629
41,-1385668
42,-1463035
43,-1418161
44,-1286219
45,-1237891
46,-1099610
47,-1092378
48,-1168748
49,-1103045
50,-1034197
51,-1080176
52,-1046355
53,-1119146
54,-1126761
55,-1185192
56,-1170615
57,-1217957
58,-1165987
59,-1155078
60,-1213909
61,-1141125
62,-1101202
63,-1191665
64,-1502708
65,-1376898
66,-1327137
67,-1406080
68,-1346780
69,-1184370
70,-1163859
71,-1129996
72,-1131853
73,-1037232
74,-1069217
75,-1054724
76,-1037262
77,-1120419
78,-1066119
79,-1190659
80,-1209139
81,-1176795
82,-1186569
83,-1265197
84,-1194533
85,-1141565
86,-1201780
87,-1257295
88,-1386261
89,-1419553
90,-1350930
91,-1390084
92,-1299101
93,-1183969
94,-1165428
95,-1116093
96,-1118617
97,-1078899
98,-1075924
99,-1049275
100,-1080089
101,-1074815
102,-1066259
103,-1128905
104,-1243739
105,-1208544
106,-1161818
107,-1253511
108,-1137993
109,-1158127
110,-1106360
111,-1184910
112,-1463959
113,-1413783
114,-1341443
115,-1309282
116,-1374465
117,-1196025
118,-1142694
119,-1136016
120,-1104397
121,-1029921
122,-1002480
123,-1046521
124,-1120620
125,-1069270
126,-1095549
127,-1192262
128,-1225903
129,-1172772
130,-1209807
131,-1230863
132,-1192574
133,-1121036
134,-1105981
135,-1230061
136,-1522910
137,-1375016
138,-1370956
139,-1406976
140,-1298011
141,-1176105
142,-1166814
143,-1201371
144,-1124202
145,-1100248
146,-1075996
147,-1057862
148,-1104892
149,-1061839
150,-1060177
151,-1137921
152,-1189653
153,-1221527
154,-1208823
155,-1212771
156,-1221119
157,-1219772
158,-1189749
159,-1209517
160,-1414851
161,-1438588
162,-1428901
163,-1352321
164,-1326329
165,-1221163
166,-1134724
167,-1194292
168,-1126793
169,-1086450
170,-1022518
171,-1117820
172,-1133392
173,-1110947
174,-1094451
175,-1144387
176,-1219182
177,-1260233
178,-1187717
179,-1241232
180,-1129254
181,-1178035
182,-1172180
183,-1202904
184,-1437840
185,-1460473
186,-1424567
187,-1427717
188,-1271748
189,-1203874
190,-1098222
191,-1119630
192,-1100367
193,-1046569
194,-1065710
195,-1100945
196,-1035790
197,-1076602
198,-1111702
199,-1120002
200,-1215375
201,-1185030
202,-1188849
203,-1188241
204,-1242917
205,-1203354
206,-1132345
207,-1281609
208,-1461053
209,-1491156
210,-1361356
211,-1347064
212,-1335619
213,-1186093
214,-1132877
215,-1143626
216,-1080022
217,-1100782
218,-1041285
219,-1052789
220,-1124492
221,-1121373
222,-1160488
223,-1196937
224,-1195468
225,-1210120
226,-1183910
227,-1227719
228,-1142241
229,-1164836
230,-1150819
231,-1205041
232,-1409685
233,-1382803
234,-1457122
235,-1341118
236,-1374148
237,-1275086
238,-1164103
239,-1143880
240,-1076056
241,-1035602
242,-1048640
243,-1098156
244,-1052571
245,-1085040
246,-1157022
247,-1092019
248,-1208241
249,-1286781
250,-1223144
251,-1256048
252,-1143063
253,-1208592
254,-1153776
255,-1196356
256,-1383445
257,-1424295
258,-1456284
259,-1322404
260,-1331871
261,-1182150
262,-1080175
263,-1106008
264,-1138927
265,-1063352
266,-1035743
267,-1040762
